isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
165.3871,1.03876176807074,0.544597788527947,9.35607,0.001606766,0.0007139914,0.0005280765,9.434062,0.01614416,0.01392506,0.00829790664,0.00381225064,132.912948,32.4519444,0.01392506,0.00829790664,0.00381225064,132.912948,32.4519444
220.9749,0.961519789842276,0.531565752294704,11.29427,0.006914106,10.17724,0.283732,0.01526728,36.75626,0.0283707232,29.0143624,2.30259196,77.0012583999999,113.284812,0.0283707232,29.0143624,2.30259196,77.0012583999999,113.284812
346.9275,0.788743224107746,0.700362888375176,19.1645,4.402378,0.006872715,0.02385923,5.833863,30.11003,4.36793608,0.00674172492,0.0262582596,165.635136,177.79532,4.36793608,0.00674172492,0.0262582596,165.635136,177.79532
124.3478,0.990148703177189,0.206124465036759,2.53786239455,81.9352014,0.000595966634,0.610814441,0.294069666,0.001006089792,115.28072,0.00082753948,1.7466766,18.667262,6.5801408,115.28072,0.00082753948,1.7466766,18.667262,6.5801408
336.3187,0.99661032371011,0.803731052306077,26.939352,0.8855916,0.04857299,0.05804603,7.699494,1.090912,2.20547768,0.0767640796,0.25133842,331.555348,2.7958458,2.20547768,0.0767640796,0.25133842,331.555348,2.7958458
203.8208,0.747790071204159,0.0902727330278962,1.3758934,0.0073135932,6.8514494e-06,0.006156799,0.74097232,132.8944,0.00542321132,5.0982816e-06,0.00183294588,0.4724526,231.447192,0.00542321132,5.0982816e-06,0.00183294588,0.4724526,231.447192
187.9016,0.800069200432964,0.735885573712673,11.062883,0.5741952,5.697699e-07,0.9014512,16.23039,0.01276605,4.11028099999999,4.07821899999999e-06,16.31899,166.3191,0.878320599999998,4.11028099999999,4.07821899999999e-06,16.31899,166.3191,0.878320599999998
235.7987,0.776272982896197,0.426510607110111,7.80702759,0.079456229,0.002210235,44.56599,26.242384,0.97204925,0.148915708,0.00398373648,101.44488,131.80448,4.3954136,0.148915708,0.00398373648,101.44488,131.80448,4.3954136
312.5056,0.708895218561853,0.547980743499202,12.1396215672,1.22787286,1.0753512,0.027580677,8.45133812000004,0.0923361156,3.19737008,2.69539732,0.0722695332,306.787352,0.209252872,3.19737008,2.69539732,0.0722695332,306.787352,0.209252872
123.0937,0.880561857072627,0.639268624969827,6.929136,2.152673,0.0511048,0.1600589,5.270925,0.003527172,3.32441092,0.06918693,0.320841824,119.422544,0.00550616396,3.32441092,0.06918693,0.320841824,119.422544,0.00550616396
214.4978,0.521697838384523,0.75842837748767,8.487044,0.00543832300000001,8.30454200000001e-05,0.01373086,2.30276100000004,0.000995596200000001,0.0171709656,0.000262177112,0.0556524478,216.2968222,0.00263179966,0.0171709656,0.000262177112,0.0556524478,216.2968222,0.00263179966
227.0639,0.923485069198317,0.658239544504392,13.802633,0.00610035,0.005244314,0.05262543,14.6448,0.006976378,0.0170756496,0.0145969068,0.222490568,189.706752,36.5286332,0.0170756496,0.0145969068,0.222490568,189.706752,36.5286332
